CMS1_Pval	CMS2_Pval	CMS3_Pval	CMS4_Pval	CMS	min_Pval	classifier
amc_ajccii.col074	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col075	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
amc_ajccii.col076	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col077	0.816681869	0.67678119	0.024786325	1	CMS3	0.024786325	CMS3
amc_ajccii.col078	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col079	0.404216074	0.67678119	1	0.594081281	NA	0.404216074	NOLBL
amc_ajccii.col080	1	0.073071856	1	0.594081281	NA	0.073071856	CMS4
amc_ajccii.col081	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
amc_ajccii.col082	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
amc_ajccii.col083	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col084	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
amc_ajccii.col085	0.00042904	1	1	0.908340934	CMS1	0.00042904	CMS1
amc_ajccii.col086	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col089	1	0.073071856	1	0.594081281	NA	0.073071856	NOLBL
amc_ajccii.col090	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col091	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
amc_ajccii.col092	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
amc_ajccii.col093	3.37826424782947e-06	1	1	1	CMS1	3.37826424782947e-06	CMS1
amc_ajccii.col094	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col095	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col096	0.011070572	0.937285903	1	0.908340934	CMS1	0.011070572	CMS1
amc_ajccii.col097	1	0.000283774	1	1	CMS2	0.000283774	CMS2
amc_ajccii.col098	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
amc_ajccii.col099	0.404216074	1	0.000854701	1	CMS3	0.000854701	CMS3
amc_ajccii.col100	0.00042904	1	1	0.908340934	CMS1	0.00042904	CMS1
amc_ajccii.col101	1	0.007945678	1	0.908340934	CMS2	0.007945678	NOLBL
amc_ajccii.col102	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON321	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
kfsyscc.COLON322	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
kfsyscc.COLON016	0.100932401	1	1	0.227445019	NA	0.100932401	CMS1
kfsyscc.COLON017	0.816681869	0.3046316	0.204273504	1	NA	0.204273504	NOLBL
kfsyscc.COLON018	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
kfsyscc.COLON019	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON020	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON021	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON022	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
kfsyscc.COLON023	1	0.073071856	0.658974359	0.908340934	NA	0.073071856	CMS2
kfsyscc.COLON024	1	0.67678119	0.204273504	0.594081281	NA	0.204273504	NOLBL
kfsyscc.COLON025	1	0.073071856	0.204273504	1	NA	0.073071856	NOLBL
kfsyscc.COLON026	1	0.67678119	0.000854701	1	CMS3	0.000854701	CMS3
kfsyscc.COLON027	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON028	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON029	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON030	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
kfsyscc.COLON031	1	0.67678119	0.000854701	1	CMS3	0.000854701	CMS3
kfsyscc.COLON032	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON033	1	0.67678119	0.658974359	0.227445019	NA	0.227445019	NOLBL
kfsyscc.COLON034	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
kfsyscc.COLON035	1	0.67678119	0.204273504	0.594081281	NA	0.204273504	CMS3
kfsyscc.COLON036	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON037	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON038	1	0.3046316	0.658974359	0.594081281	NA	0.3046316	NOLBL
kfsyscc.COLON039	1	0.073071856	0.204273504	1	NA	0.073071856	CMS3
kfsyscc.COLON040	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON041	1	0.67678119	0.658974359	0.227445019	NA	0.227445019	NOLBL
kfsyscc.COLON042	1	0.073071856	1	0.594081281	NA	0.073071856	CMS2
kfsyscc.COLON043	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON044	0.100932401	1	0.024786325	1	CMS3	0.024786325	CMS3
kfsyscc.COLON045	0.404216074	0.3046316	1	0.908340934	NA	0.3046316	NOLBL
kfsyscc.COLON046	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON047	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
kfsyscc.COLON048	1	0.073071856	0.204273504	1	NA	0.073071856	CMS3
kfsyscc.COLON049	1	0.3046316	1	0.227445019	NA	0.227445019	NOLBL
kfsyscc.COLON050	0.011070572	1	1	0.594081281	CMS1	0.011070572	CMS1
kfsyscc.COLON051	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON052	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON053	0.816681869	0.073071856	1	0.908340934	NA	0.073071856	NOLBL
kfsyscc.COLON054	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON055	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
kfsyscc.COLON056	1	0.073071856	0.204273504	1	NA	0.073071856	CMS3
kfsyscc.COLON057	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON058	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON059	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON060	0.816681869	0.937285903	1	0.044126888	CMS4	0.044126888	NOLBL
kfsyscc.COLON061	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON062	1	0.67678119	0.658974359	0.227445019	NA	0.227445019	CMS4
kfsyscc.COLON063	0.404216074	0.3046316	0.658974359	1	NA	0.3046316	NOLBL
kfsyscc.COLON064	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON065	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON066	1	0.3046316	0.024786325	1	CMS3	0.024786325	CMS3
kfsyscc.COLON067	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON068	1	0.3046316	1	0.227445019	NA	0.227445019	NOLBL
kfsyscc.COLON069	1	0.007945678	0.658974359	1	CMS2	0.007945678	NOLBL
kfsyscc.COLON070	0.011070572	1	0.204273504	1	CMS1	0.011070572	CMS1
kfsyscc.COLON071	1	0.007945678	0.658974359	1	CMS2	0.007945678	NOLBL
kfsyscc.COLON072	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
kfsyscc.COLON073	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
kfsyscc.COLON074	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON075	1	0.073071856	0.204273504	1	NA	0.073071856	CMS3
kfsyscc.COLON076	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON077	1	0.3046316	1	0.227445019	NA	0.227445019	CMS4
kfsyscc.COLON078	0.816681869	0.937285903	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON079	1	0.073071856	0.204273504	1	NA	0.073071856	CMS3
kfsyscc.COLON080	0.011070572	1	0.204273504	1	CMS1	0.011070572	CMS1
kfsyscc.COLON081	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
kfsyscc.COLON082	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON083	0.404216074	0.073071856	1	1	NA	0.073071856	CMS2
kfsyscc.COLON084	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON085	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON086	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON087	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
kfsyscc.COLON088	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON089	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
kfsyscc.COLON090	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	NA
kfsyscc.COLON091	1	0.073071856	1	0.594081281	NA	0.073071856	CMS2
kfsyscc.COLON092	1	0.073071856	0.204273504	1	NA	0.073071856	CMS2
kfsyscc.COLON093	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
kfsyscc.COLON094	1	0.073071856	0.204273504	1	NA	0.073071856	NOLBL
kfsyscc.COLON095	0.100932401	1	1	0.227445019	NA	0.100932401	NOLBL
kfsyscc.COLON096	0.816681869	0.937285903	1	0.044126888	CMS4	0.044126888	NOLBL
kfsyscc.COLON097	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON098	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON099	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON100	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON101	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
kfsyscc.COLON102	0.816681869	0.67678119	0.024786325	1	CMS3	0.024786325	CMS3
kfsyscc.COLON103	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON104	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
kfsyscc.COLON105	0.404216074	0.937285903	0.024786325	1	CMS3	0.024786325	CMS3
kfsyscc.COLON106	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON107	0.404216074	0.937285903	1	0.227445019	NA	0.227445019	NOLBL
kfsyscc.COLON108	1	0.3046316	1	0.227445019	NA	0.227445019	CMS4
kfsyscc.COLON109	1	0.3046316	1	0.227445019	NA	0.227445019	NOLBL
kfsyscc.COLON110	1	0.073071856	0.204273504	1	NA	0.073071856	CMS2
kfsyscc.COLON111	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON112	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON113	1	0.073071856	0.204273504	1	NA	0.073071856	NOLBL
kfsyscc.COLON114	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
kfsyscc.COLON115	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
kfsyscc.COLON116	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON117	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON118	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON119	1	0.3046316	1	0.227445019	NA	0.227445019	NOLBL
kfsyscc.COLON120	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON121	1	0.007945678	1	0.908340934	CMS2	0.007945678	CMS2
kfsyscc.COLON122	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON123	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON124	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
kfsyscc.COLON125	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON126	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON127	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
kfsyscc.COLON128	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON129	1	0.073071856	1	0.594081281	NA	0.073071856	CMS2
kfsyscc.COLON130	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON131	0.011070572	1	0.658974359	0.908340934	CMS1	0.011070572	CMS1
kfsyscc.COLON132	1	0.67678119	0.000854701	1	CMS3	0.000854701	CMS3
kfsyscc.COLON133	1	0.073071856	1	0.594081281	NA	0.073071856	CMS2
kfsyscc.COLON134	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON135	0.816681869	0.67678119	0.024786325	1	CMS3	0.024786325	CMS3
kfsyscc.COLON136	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON137	0.404216074	1	0.000854701	1	CMS3	0.000854701	CMS3
kfsyscc.COLON138	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
kfsyscc.COLON139	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
kfsyscc.COLON140	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
kfsyscc.COLON141	0.404216074	0.3046316	0.658974359	1	NA	0.3046316	NOLBL
kfsyscc.COLON142	0.816681869	0.937285903	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON143	0.816681869	0.007945678	1	1	CMS2	0.007945678	NOLBL
kfsyscc.COLON144	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON145	0.816681869	0.073071856	0.658974359	1	NA	0.073071856	CMS2
kfsyscc.COLON146	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON147	1	0.073071856	0.204273504	1	NA	0.073071856	CMS3
kfsyscc.COLON148	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON149	0.404216074	1	0.024786325	0.908340934	CMS3	0.024786325	CMS3
kfsyscc.COLON150	0.816681869	0.073071856	0.658974359	1	NA	0.073071856	CMS2
kfsyscc.COLON151	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON152	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON153	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON154	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON155	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON156	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON157	1	0.67678119	0.000854701	1	CMS3	0.000854701	CMS3
kfsyscc.COLON158	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON159	1	0.3046316	0.204273504	0.908340934	NA	0.204273504	CMS3
kfsyscc.COLON160	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	NA
kfsyscc.COLON161	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON162	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON163	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
kfsyscc.COLON164	1	0.67678119	0.204273504	0.594081281	NA	0.204273504	CMS3
kfsyscc.COLON165	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON166	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON167	1	0.073071856	0.204273504	1	NA	0.073071856	CMS3
kfsyscc.COLON168	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON169	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON170	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON171	0.816681869	1	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON172	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON173	1	0.073071856	1	0.594081281	NA	0.073071856	CMS2
kfsyscc.COLON174	0.100932401	1	0.024786325	1	CMS3	0.024786325	CMS3
kfsyscc.COLON175	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON176	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON177	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON178	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON179	0.404216074	0.937285903	0.658974359	0.594081281	NA	0.404216074	NOLBL
kfsyscc.COLON180	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON181	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
kfsyscc.COLON182	1	0.3046316	1	0.227445019	NA	0.227445019	CMS2
kfsyscc.COLON183	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON184	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON185	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON186	1	0.937285903	1	0.003689065	CMS4	0.003689065	CMS4
kfsyscc.COLON187	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON188	0.100932401	1	0.658974359	0.594081281	NA	0.100932401	NOLBL
kfsyscc.COLON189	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
kfsyscc.COLON190	0.816681869	0.073071856	1	0.908340934	NA	0.073071856	CMS2
kfsyscc.COLON191	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON192	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
kfsyscc.COLON193	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON194	0.404216074	1	0.000854701	1	CMS3	0.000854701	CMS3
kfsyscc.COLON195	0.100932401	1	1	0.227445019	NA	0.100932401	NOLBL
kfsyscc.COLON196	0.404216074	0.67678119	1	0.594081281	NA	0.404216074	NOLBL
kfsyscc.COLON197	0.816681869	0.937285903	0.658974359	0.227445019	NA	0.227445019	NOLBL
kfsyscc.COLON198	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
kfsyscc.COLON199	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
kfsyscc.COLON200	0.404216074	1	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON201	1	0.073071856	0.204273504	1	NA	0.073071856	CMS2
kfsyscc.COLON202	1	0.073071856	0.658974359	0.908340934	NA	0.073071856	NOLBL
kfsyscc.COLON203	0.404216074	0.67678119	0.204273504	1	NA	0.204273504	NOLBL
kfsyscc.COLON204	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON205	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
kfsyscc.COLON206	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
kfsyscc.COLON207	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON208	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
kfsyscc.COLON209	0.404216074	1	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON210	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON211	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON212	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON213	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON214	0.011070572	1	1	0.594081281	CMS1	0.011070572	CMS1
kfsyscc.COLON215	1	0.073071856	1	0.594081281	NA	0.073071856	CMS2
kfsyscc.COLON216	0.816681869	0.007945678	1	1	CMS2	0.007945678	CMS2
kfsyscc.COLON217	1	0.073071856	1	0.594081281	NA	0.073071856	CMS4
kfsyscc.COLON218	1	0.007945678	0.658974359	1	CMS2	0.007945678	CMS2
kfsyscc.COLON219	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON220	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
kfsyscc.COLON221	0.404216074	1	0.000854701	1	CMS3	0.000854701	CMS3
kfsyscc.COLON222	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON223	1	0.3046316	1	0.227445019	NA	0.227445019	NOLBL
kfsyscc.COLON224	1	0.3046316	1	0.227445019	NA	0.227445019	NOLBL
kfsyscc.COLON225	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
kfsyscc.COLON226	1	0.67678119	1	0.044126888	CMS4	0.044126888	CMS4
kfsyscc.COLON227	1	0.67678119	0.658974359	0.227445019	NA	0.227445019	CMS4
kfsyscc.COLON228	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON229	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON230	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON231	1	1	1	9.45913989392251e-05	CMS4	9.45913989392251e-05	CMS4
kfsyscc.COLON232	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
kfsyscc.COLON233	0.100932401	0.67678119	0.658974359	1	NA	0.100932401	NOLBL
kfsyscc.COLON234	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON235	1	0.000283774	1	1	CMS2	0.000283774	CMS2
kfsyscc.COLON236	0.00042904	1	0.658974359	1	CMS1	0.00042904	CMS1
kfsyscc.COLON237	0.816681869	0.937285903	0.000854701	1	CMS3	0.000854701	CMS3
kfsyscc.COLON238	0.404216074	1	1	0.044126888	CMS4	0.044126888	CMS4
